 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
972174,132800,18377,29598,8981,15878,3568,1749,Intense Ambulatory
1278045,1349465,931537,463260,210042,450363,158991,51480,Intense Ambulatory
1753129,232624,39739,21233,44727,58631,6262,3653,Intense Ambulatory
712416,493130,70389,79208,189663,122348,29057,9763,Intense Ambulatory
359265,82946,15848,18847,8694,12634,2879,1532,Intense Ambulatory
595388,101025,268650,66522,37871,63868,20192,6807,Intense Ambulatory
161765,137528,11415,31417,26256,37920,13490,2358,Intense Ambulatory
114682,41998,7213,13804,37633,32731,5803,542,Intense Ambulatory
1365285,207895,71570,197880,90564,303803,24961,27786,Intense Ambulatory
418199,248719,39386,54406,58763,83561,11001,10556,Intense Ambulatory
1627483,119174,29301,219676,120135,84815,14506,14201,Intense Ambulatory
1772440,165689,137182,21366,32267,67886,19373,8408,Intense Ambulatory
1941993,1495866,48223,202183,163624,249563,195825,52447,Intense Ambulatory
353562,180632,107112,85530,79752,63530,14361,2402,Intense Ambulatory
361188,112489,40377,11110,22065,14590,13176,11172,Stationary
164817,31891,13403,13436,7611,5332,10924,1578,Stationary
14505,6645,37369,84751,4153,5015,16883,4566,Stationary
104087,74254,21925,8214,4333,4828,5659,2572,Stationary
49897,13649,7988,13151,8394,9805,5204,1929,Stationary
8708,22593,46729,11665,10953,5194,7432,3354,Stationary
118429,42538,16230,9372,10959,5367,3377,1930,Stationary
112209,129404,32475,6573,7619,8916,3928,1860,Stationary
6915,21603,3226,2519,7984,4751,5593,643,Stationary
143918,20272,8307,6115,4065,2252,1298,1369,Stationary
151099,209099,85755,11943,26045,12175,6742,6188,Stationary
1035940,36329,8194,9568,3373,5241,2936,1204,Stationary
97982,49190,12306,1729,4082,2704,1850,409,Stationary
53039,18700,14900,6821,7040,6843,7626,3464,Stationary
3465,3508,1026,4952,4760,10461,11327,1459,Stationary
1414,22054,13765,2346,8673,10006,12828,1620,Stationary
7953,6287,20497,3291,4030,16075,6509,1482,Stationary
8545,7240,8456,3048,6323,7434,2932,1298,Stationary
8389,2373,28605,7294,8215,7425,8083,2634,Stationary
27075,7223,14635,7165,3853,8940,4802,1793,Stationary
128461,165064,36248,27991,18565,10189,5321,2355,Stationary
21664,9413,9120,4910,5159,9821,5378,1259,Stationary
44327,11488,1130,8938,5916,7809,5294,957,Stationary
5801,12334,14842,1889,5004,8915,2705,1902,Stationary
154470,23485,399,14745,14746,10149,2187,2202,Stationary
2284,10964,2216,1117,3937,6723,2276,2462,Stationary
11341,17162,8658,2530,6563,7168,4843,1339,Stationary
168589,192026,26142,23656,3969,5230,3037,1592,Stationary
39655,27222,27076,74018,4905,4614,3272,1970,Stationary
13470,9098,53192,30300,8944,5191,2183,1889,Stationary
22888,59930,55003,42410,23036,7205,3523,1614,Stationary
318176,31204,53290,3738,2761,10688,1514,2275,Stationary
1827919,204980,23705,16340,10931,21990,6549,6529,Stationary
39719,10962,3076,5581,9007,10414,18363,6956,Stationary
130839,93830,48123,34179,6322,21615,39069,3548,Stationary
6081,19521,5519,12101,5659,8488,8122,3392,Stationary
157760,28992,2738,8801,5451,1068,2600,429,Stationary
30577,16575,18291,2959,16583,10852,18414,3388,Stationary
8095,28061,16904,4924,15091,6875,2731,4131,Stationary
833201,63826,54382,29360,26007,7724,6768,4546,Stationary
1052646,113240,11888,32713,14675,12025,9725,3926,Stationary
353098,313154,54670,109495,48634,13251,13804,10428,Stationary
203920,33919,19536,7875,2572,4678,6956,1340,Stationary
23026,2597,15052,6932,1896,10795,16712,3363,Stationary
147286,67109,8413,29326,10574,31606,13900,16130,Stationary
403366,65141,25757,11776,16102,10246,7354,9595,Stationary
73032,22875,744,2286,5279,3871,1254,1895,Stationary
88248,35875,7656,1836,3640,2096,4933,947,Stationary
185918,8563,2777,3492,3017,7192,8794,927,Stationary
38344,27245,35063,13421,11169,8367,31187,14976,Stationary
232467,26177,951,3438,5547,7312,5166,1032,Stationary
39886,14499,7371,2996,713,2772,6784,2223,Stationary
74086,32978,2986,5942,16858,10148,12692,5589,Stationary
436543,56544,10139,10615,13694,14323,11990,4648,Stationary
144365,32138,2982,4769,14021,24079,29499,3514,Stationary
87608,20342,6939,9352,7399,4083,3177,1624,Stationary
50080,20238,9233,35369,13583,14010,11401,4742,Stationary
96269,28322,8858,5534,1076,2577,5115,1433,Stationary
152311,36848,22527,8907,4924,3200,12914,1556,Stationary
128058,39432,5608,293,2560,4806,5693,2227,Stationary
111182,13042,1460,1325,3170,773,1374,306,Stationary
129275,199068,33982,48529,17910,17246,21243,5238,Stationary
7182,11926,1961,1764,9293,25809,13884,11340,Stationary
18244,3408,9010,5768,12532,9911,4950,3420,Stationary
47190,18871,1805,3699,1657,5373,3601,949,Stationary
7620,4488,8564,14508,4258,17986,16266,3166,Stationary
12177,14250,2057,8430,7071,24526,6385,4370,Stationary
99040,55442,23653,6738,7207,17788,14304,2072,Stationary
23424,9695,7483,5754,5831,5945,8002,3753,Stationary
189960,109636,33148,6819,13289,14081,2476,3887,Stationary
4431,10879,3218,4137,8132,5252,3863,2613,Stationary
119565,41880,26264,5434,4009,3200,1213,1270,Stationary
29603,10204,4412,10020,9557,7474,3041,3955,Stationary
190954,140994,13786,29919,14853,10979,21071,3296,Stationary
523806,8764,6925,11794,15829,6501,14524,5151,Stationary
17476,2713,10596,3078,8594,10506,19918,1826,Stationary
183988,260545,50813,19364,8741,6358,17385,4739,Stationary
29892,4542,18516,1861,8258,11489,8383,2784,Stationary
2974,10449,1011,17782,8550,9836,8584,1962,Stationary
157137,33465,9973,10745,9454,3936,1760,526,Stationary
8852,17762,4120,1579,6057,6504,2632,1370,Stationary
25666,14900,8973,6611,2456,1143,1772,800,Stationary
19010,9460,36295,7063,15224,6703,10214,2107,Stationary
101883,24160,11003,3171,4346,2190,7640,896,Stationary
7379,21767,4386,19050,5853,9680,5230,6312,Stationary
120279,38579,8686,5473,10344,12274,9055,8598,Stationary
155531,74684,30808,35518,11309,8816,7049,3875,Stationary
15675,18487,7408,14838,17624,36857,17126,4755,Stationary
294831,87095,45561,5957,5842,4332,2053,693,Stationary
49188,57506,50878,16188,10689,14537,12800,4133,Stationary
301684,129232,52117,22531,6404,9026,12400,11104,Stationary
317616,277419,17434,76428,19898,10137,9671,2372,Stationary
115517,12980,18728,12267,9249,5700,15383,5671,Stationary
4402,22363,10419,6998,9830,8298,5870,1467,Stationary
73950,8341,9575,2743,3648,2416,4518,1235,Stationary
31830,28737,30171,5554,11804,11229,22751,2689,Stationary
497753,166048,41837,26730,3677,4738,10820,16676,Stationary
21462,25383,16705,13206,8490,8856,6855,7740,Stationary
4774,9219,14700,11385,16060,5877,12943,4798,Stationary
204940,21508,3844,5507,2240,1736,2446,4266,Stationary
17557,19636,4861,8431,3468,19950,16036,5837,Stationary
23099,37643,19099,5931,6757,15632,12079,10164,Stationary
646727,76379,30735,7925,11442,3168,8692,1368,Stationary
77077,160052,45046,36436,9068,15935,13107,6573,Stationary
3455,10016,15171,3290,7844,11189,16105,3061,Stationary
5569,2307,7695,6688,3859,9759,11947,6470,Stationary
66671,58531,5963,6097,3559,3037,5438,1439,Stationary
198009,4839,13822,2593,3436,3401,4618,3819,Stationary
29444,6749,11513,9355,7046,6089,24284,18420,Stationary
254645,30619,20351,4360,4566,1258,5991,2032,Stationary
10720,21534,4605,7333,18391,5254,15262,5736,Stationary
103135,30867,14488,6817,5748,7432,11236,6027,Stationary
696223,141201,59824,26613,12013,12531,13296,2878,Stationary
1383558,395771,12509,48492,16166,15990,31178,7045,Stationary
232367,34423,16931,23816,12072,19512,11781,3579,Stationary
21914,24777,25024,15690,13546,7415,14526,2991,Stationary
66687,24970,2683,3742,3893,2012,3859,4033,Stationary
100309,17055,3737,2458,3423,2082,1746,2317,Stationary
53976,17620,3613,3972,6632,2945,8337,2676,Stationary
16689,7873,9547,13174,8581,26018,9754,4292,Stationary
789887,192514,40556,27921,36109,20240,35279,12416,Stationary
243025,69394,16449,13257,20624,17737,15723,3981,Stationary
28246,20455,23535,4855,7418,16478,10465,10992,Stationary
579596,188958,4573,19415,16099,23202,13775,4735,Stationary
727452,85746,13723,21372,11738,12556,10634,6891,Stationary
6498,33481,32493,10340,17830,30393,18060,1021,Stationary
4989,16951,7089,14042,2419,14852,6844,5178,Stationary
656436,103940,29483,11896,19379,26189,35685,6936,Stationary
13738,24926,11371,19391,13711,12634,14586,3992,Stationary
4128,12069,20038,6720,14558,17377,16251,7408,Stationary
122597,211227,15298,11108,22942,24064,21204,4794,Stationary
27971,14974,11756,12745,5208,10525,14926,9341,Stationary
7653,3674,7795,7456,5145,6982,12342,10271,Stationary
30365,6342,11228,8447,4491,10386,35748,7145,Stationary
382951,38729,3690,3444,4806,10839,4759,1129,Stationary
430456,35647,5529,6971,2527,4437,2813,1527,Stationary
190903,24760,6199,2781,3330,3826,4936,1704,Stationary
273113,166140,13706,14411,16473,20416,30347,3065,Stationary
79378,48358,21580,12339,10078,8189,36221,4426,Stationary
6270,36972,1843,6881,10571,12007,39313,8627,Stationary
34586,20947,5286,6804,13780,24691,22628,5201,Stationary
78124,27556,2575,3415,10583,4635,13547,1774,Stationary
319582,38133,16409,11991,17294,5567,4977,3626,Stationary
64838,94498,34265,26574,4243,17595,31484,2440,Stationary
2191419,164793,126609,63876,35479,13861,39000,7936,Stationary
285143,82540,26047,3565,5881,17573,29703,8543,Stationary
22204,37562,44804,9682,17053,39060,20713,7606,Stationary
146213,67023,7921,1315,6203,8689,2646,1013,Stationary
94062,16851,2845,387,848,3684,10033,2941,Stationary
324856,10409,1681,1934,3326,12433,7533,5290,Stationary
28856,15202,1136,16474,4480,30532,27863,9267,Stationary
33250,7311,9776,4830,1074,3582,9793,1023,Stationary
21712,31412,11448,21581,10247,25528,13055,10303,Stationary
12464,24401,6056,6727,16641,20862,15294,3627,Stationary
12901,12093,2048,3181,4242,26337,12204,8159,Stationary
903064,148367,62417,23931,8377,25446,11612,9876,Stationary
13176,10062,14863,8567,4163,32291,14417,4793,Stationary
928175,44525,10889,18197,45635,25823,30640,12793,Stationary
19294,14732,13193,11335,7620,13008,26154,2983,Stationary
13554,11611,7988,1274,13383,29401,14557,7192,Stationary
71703,12219,7081,296,4271,6535,3529,822,Stationary
42242,33064,16205,16822,6340,14586,22890,4887,Stationary
104677,57812,15062,13119,30203,39266,42810,9690,Stationary
323662,94703,40515,6081,7299,3689,7542,903,Stationary
20186,28897,8113,1610,4673,57348,14472,4668,Stationary
106051,12049,693,792,1487,4756,3728,1884,Stationary
27313,20570,3226,4467,4845,20021,15439,5439,Stationary
109724,69549,108212,18333,16154,26339,20394,4217,Stationary
7737,29061,7033,7237,8814,19431,25358,11178,Stationary
453534,24010,4582,1964,2355,1584,2098,301,Stationary
22851,32891,22489,5550,9132,11927,23848,5075,Stationary
897103,89284,67323,18645,7508,18779,25691,8126,Stationary
11017,44716,9038,5856,9014,24523,20973,3720,Stationary
5721,17261,40903,3161,9294,33171,11553,3834,Stationary
19581,42675,11608,19466,12031,23179,20730,6266,Stationary
27106,25748,33275,5293,19623,14225,18038,6746,Stationary
850452,93154,31121,41856,29702,17660,22426,6021,Stationary
145154,97729,67910,31057,26182,15937,15952,8163,Stationary
60488,37351,11429,14242,11330,6779,4141,1053,Stationary
8726,16465,5317,3561,9254,18993,22996,13214,Stationary
3205,19943,17144,7762,6298,11424,13010,10908,Stationary
78376,132278,5568,34324,28281,17053,40285,1501,Stationary
11816,19174,2525,12553,4719,26105,21809,14940,Stationary
69680,86529,14008,34920,19251,39345,30167,5830,Stationary
22778,5489,4791,14544,3892,20799,45068,7198,Stationary
978423,375689,19125,18903,12656,30692,17591,7706,Stationary
94398,13042,2144,298,2090,888,1021,505,Stationary
238159,28509,11020,4171,3454,6326,9881,1773,Stationary
145022,283110,32415,56487,21348,24420,18569,4813,Stationary
353275,67374,5205,13494,2745,5859,3681,1832,Stationary
6071,5362,7498,4874,14790,22247,35008,5231,Stationary
107883,176073,55324,17255,13498,33577,19674,3320,Stationary
5933,6464,1642,4747,2525,18441,17905,7855,Stationary
8959,11061,4282,1925,4384,39484,54453,10600,Stationary
145265,90708,23147,6982,20325,19926,32455,10239,Stationary
7106,10377,3008,1522,3568,16875,26832,2233,Stationary
360238,284743,63306,4608,7149,31020,20215,10272,Stationary
8629,10261,1567,4559,9038,28998,15985,5926,Stationary
237084,66308,3722,2783,7458,5446,8423,1967,Stationary
11529,29501,5424,9311,12263,18751,11914,10907,Stationary
357406,73661,40873,15144,26101,11257,43384,10974,Stationary
73784,27913,64709,8480,7504,4038,11843,4731,Stationary
141136,68546,24550,16348,7249,13616,25346,11669,Stationary
81109,16484,7294,1308,3964,6050,3856,3607,Stationary
76613,35772,4213,12350,9228,19692,18811,8907,Stationary
131659,35049,3292,4603,19182,21106,13980,6795,Stationary
105826,16160,873,1019,2956,4479,10208,1723,Stationary
504815,49304,24299,27553,32398,20294,15575,6796,Stationary
22772,24609,3026,12271,17224,51460,15330,7142,Stationary
22447,9474,20260,10887,19027,37031,16085,4709,Stationary
66934,19379,5988,2495,714,2770,3231,1577,Stationary
110391,36455,11226,23509,6782,9744,55340,12847,Stationary
88343,10894,996,3150,1525,8123,4147,3194,Stationary
125959,24450,20076,9366,6322,5314,7809,1900,Stationary
291446,88778,7353,12975,10649,13999,29950,2754,Stationary
228220,130737,50498,18800,17013,26079,14133,3205,Stationary
11996,9398,12118,3432,5540,54303,30130,5218,Stationary
386318,37888,2683,3836,2854,6046,5402,1090,Stationary
115099,12639,8748,4619,2192,8366,4506,1369,Stationary
39434,15428,1680,664,1602,1999,841,891,Stationary
594727,86851,14870,14142,8888,32610,24357,4906,Stationary
566590,179124,42042,4331,7249,28638,47101,7953,Stationary
69978,108190,17676,10290,15644,32194,26549,13538,Stationary
634814,61757,26255,18859,4831,25639,24288,4434,Stationary
11179,14188,21687,4310,6149,56187,17913,3098,Stationary
3690,28716,4162,11100,4477,14371,13678,6596,Stationary
38719,82527,12766,9156,7503,101028,27662,15764,Stationary
422364,24464,5360,9969,6353,7044,6458,839,Stationary
6001,9192,4465,7786,3217,21395,24416,9989,Stationary
16434,40268,1572,2527,10656,27069,33541,13236,Stationary
258002,186601,33153,50281,32597,63889,22363,29199,Stationary
303478,24150,7541,9971,6540,9601,6376,6851,Stationary
1464742,418578,6970,16989,26706,26011,25132,28707,Stationary
57052,21112,2242,3000,3354,5198,17056,626,Stationary
348210,28671,17622,3245,10213,5754,6172,2207,Stationary
172452,30976,2476,2648,5830,3773,4846,1038,Stationary
11019,14273,4872,5082,15493,7459,38240,6336,Stationary
13325,64939,3442,4517,21651,21680,47970,18722,Stationary
5648,3150,8049,6458,12048,35973,21756,10779,Stationary
9695,41442,1663,11477,7429,15591,42833,3129,Stationary
137598,106437,45393,56462,29891,42935,16554,14196,Stationary
246565,30697,24477,7366,2817,4775,6489,3449,Stationary
527660,429975,38480,16818,9387,14660,21322,5716,Stationary
17270,23726,29844,9885,8218,20686,41179,8441,Stationary
11009,13795,12763,6404,3267,17913,11029,1889,Stationary
634242,120977,148232,14625,13521,12572,43418,7818,Stationary
624446,22214,21914,45092,22405,11770,29517,4672,Stationary
313598,36969,31293,3917,6670,20614,23769,3950,Stationary
93577,92090,19438,6373,4637,4118,8724,4169,Stationary
1013112,369280,36320,29288,41233,26859,38522,7408,Stationary
5557,9340,14834,5987,6387,127559,33362,10303,Stationary
136692,54996,49962,8330,28514,18378,13562,3264,Stationary
24859,47781,2111,6867,4805,21680,63774,4485,Stationary
42575,17410,19988,3235,2319,2282,4303,2480,Stationary
169558,160330,3201,18103,5345,22798,28398,7578,Stationary
1850903,65008,28081,10020,30043,37285,20610,2803,Stationary
349446,43487,13822,5625,21651,18882,13517,10531,Stationary
131851,59527,34930,15532,7324,28592,36988,5501,Stationary
25487,42083,9094,4309,8518,51997,14368,8482,Stationary
443026,596758,2508,17141,15945,19279,32577,8759,Stationary
213824,71583,11699,5746,3971,3930,5960,929,Stationary
5618,4181,7672,9829,4765,38556,13763,22230,Stationary
371240,248029,127352,6642,21459,32717,20055,18964,Stationary
55482,55836,15396,2662,3583,9118,7333,2440,Stationary
6941,5649,3519,9248,27739,39479,25622,4198,Stationary
132856,12975,3405,3159,2860,3936,3606,2573,Stationary
432481,56770,12497,15160,5836,4420,9639,1257,Stationary
1984,6585,3243,31700,10233,47096,37151,5993,Stationary
87453,82208,43486,23197,5692,12484,33934,9290,Stationary
418203,80517,33568,15923,9761,23342,42338,13676,Stationary
345541,42788,13618,10142,8626,5155,5383,4273,Stationary
240373,83719,7631,10346,10258,34691,14655,8615,Stationary
153669,47849,16644,24253,11901,28884,57166,13294,Stationary
36888,9069,11753,9341,14119,25942,35596,5697,Stationary
57765,13273,3512,4030,4639,8737,7365,2785,Stationary
37021,9212,13624,6128,20993,13192,22843,26265,Stationary
130969,71146,5426,18188,17344,24597,26757,12466,Stationary
36621,63589,9290,4066,2523,2154,2530,744,Stationary
780846,66850,2743,11149,6531,20804,53279,11790,Stationary
487452,33452,1105,3375,13397,4980,8920,1753,Stationary
116705,16531,3779,1951,743,8061,8099,1991,Stationary
550599,44707,11585,4574,3492,3061,2608,1817,Stationary
4944,21651,15933,32571,16303,15589,21799,15811,Stationary
24629,41131,34641,15700,14522,16146,14694,12981,Stationary
297164,233112,53349,81391,9798,23547,29540,3352,Stationary
24484,3587,1102,3530,2642,6778,2910,2045,Stationary
227970,69887,30161,6868,10947,6980,6338,3742,Stationary
286983,83195,31243,8032,33690,15088,18715,10019,Stationary
577059,171605,32904,49323,11245,25847,21361,22982,Stationary
180820,21210,18768,6894,13253,19177,14849,12039,Stationary
29102,8269,3078,1603,3360,1914,1541,696,Stationary
22554,5676,4870,3916,26385,15362,27135,18880,Stationary
198929,15313,1157,980,2253,1084,692,1125,Stationary
6479,35601,4332,5270,18786,14599,10272,4975,Stationary
216927,18797,982,2125,1274,1113,1215,191,Stationary
281464,65557,37145,3583,29323,33197,25522,7588,Stationary
86769,60836,53949,32208,13844,72458,28485,7338,Stationary
198564,3214,3880,258,1067,1446,1224,892,Stationary
743667,95970,2867,24628,14088,20044,15734,4843,Stationary
5547,6999,3731,6812,5544,22899,25299,5620,Stationary
129172,54316,104422,19354,20520,21051,8253,5326,Stationary
6162,12972,18194,6537,9695,17766,8602,4348,Stationary
7870,13059,11451,11788,16032,9095,10169,4343,Stationary
311131,146216,23962,3012,4263,10783,8742,1718,Stationary
3998,8909,11813,8113,4660,21999,11588,2225,Stationary
156509,132589,19494,3201,13373,22317,12666,11150,Stationary
23114,6292,671,14723,2230,25137,15915,3679,Stationary
106620,54923,5998,1314,5336,6246,2647,866,Stationary
53076,22391,6379,8207,3891,19196,5934,14781,Stationary
183809,22742,6917,5737,3255,13028,8458,4694,Stationary
24425,18713,10523,17106,3592,9817,14428,6980,Stationary
90852,77299,7489,4431,8108,5373,7872,1892,Stationary
1198200,451602,74793,14809,29743,41999,42971,34498,Stationary
157241,40979,12918,2891,4758,36450,35310,7431,Stationary
4132,1672,4267,3789,8630,23280,17006,7384,Stationary
92369,18093,873,3439,1344,10454,6158,1174,Stationary
461948,92362,27054,3329,6714,42646,29456,16750,Stationary
14528,11090,3275,4540,10317,48459,16266,2469,Stationary
546001,62667,3337,3112,5646,7256,4379,2613,Stationary
12952,6784,17919,6205,19831,27014,11329,9194,Stationary
6997,4528,26817,12010,6619,49366,7366,6080,Stationary
300647,94078,76596,17726,11874,29330,19535,6024,Stationary
3476376,168674,16255,33806,19049,42106,24710,7116,Stationary
6534,12758,412,5730,13889,28827,14060,17048,Stationary
1683,5491,5847,4922,12489,27330,15302,5733,Stationary
5419,4401,5377,9225,22911,19290,8291,4474,Stationary
15528,29342,17070,14345,19927,16845,15104,3290,Stationary
14527,3827,1966,7276,10901,22916,28705,5676,Stationary
469485,37010,7046,16726,10960,6209,10399,1840,Stationary
5401,3003,4866,1456,10404,28224,21309,2992,Stationary
6871,7823,2970,5211,11371,33631,9044,8270,Stationary
3228,8202,20494,5731,15258,13709,8026,6740,Stationary
31374,13395,11508,4941,6759,9769,23866,8680,Stationary
3384,5288,75387,1093,3630,23099,21316,4293,Stationary
8949,4661,13098,4213,7029,49067,26138,10415,Stationary
16284,7524,6149,3928,9589,18466,8250,1559,Stationary
6925,9235,8265,4574,7044,20736,14514,3818,Stationary
191549,49032,31351,31951,29305,17763,16229,4243,Stationary
1578108,166654,21717,45330,39756,44779,39429,9989,Stationary
321907,13662,741,3136,5802,4867,8787,4383,Stationary
2463937,452491,47582,27286,27568,12875,34776,16930,Stationary
138169,11202,1746,1341,7784,6558,2687,2235,Stationary
95050,42977,4079,3815,6578,4104,7415,3762,Stationary
269125,75711,21884,9958,28463,35563,34993,12961,Stationary
3702,6531,4812,725,8126,13190,31595,9887,Stationary
104315,64666,65544,11909,7026,12624,33491,6752,Stationary
7607,12506,5548,4303,12559,28891,26636,2690,Stationary
5726,6157,2264,8880,2785,13116,23674,6787,Stationary
704398,699477,53676,5072,36208,27240,39412,21754,Stationary
88864,4832,4159,3800,3972,1217,2059,411,Stationary
402821,77377,26011,19005,14158,17377,21037,4165,Stationary
515633,17855,13146,6706,1864,5197,10515,4855,Stationary
71139,11706,18665,6514,15548,15387,20124,4423,Stationary
300815,73354,15853,30399,39773,28449,42748,13374,Stationary
438386,164488,37402,16961,6135,9658,6570,4272,Stationary
116129,27503,6464,11431,6678,21803,9599,6825,Stationary
4313,9287,7716,12973,3151,16778,6873,3711,Stationary
34293,20059,13088,12964,25076,18963,7875,2659,Stationary
178583,14615,4638,3900,5227,3883,2232,1018,Stationary
1029795,139815,28846,27882,20435,21681,10583,4998,Stationary
227474,23720,30147,18292,4675,5374,4586,2616,Stationary
77300,22450,2283,3596,2698,5212,11095,1185,Stationary
11595,25131,2539,8763,7514,34734,44724,14527,Stationary
4607,11218,14478,8487,9473,39927,37856,4652,Stationary
326956,52853,9026,15860,10857,68968,6962,14457,Stationary
937294,83025,90552,33026,38559,59199,12659,7481,Stationary
5226,4298,4329,5437,11805,13695,53625,7703,Stationary
625677,39553,5422,2403,12506,18179,43907,10248,Stationary
4204,4653,6496,5036,7802,15655,95392,17580,Stationary
119189,12159,6356,2302,1981,4690,18219,1573,Stationary
149906,8077,5938,4339,8626,11715,5853,1311,Stationary
22342,36364,3073,16144,9347,35088,27411,10230,Stationary
2184,13952,929,2318,12826,11957,18225,4299,Stationary
5006,10122,12211,16831,13368,21920,15307,8133,Stationary
6579,9411,11402,9741,3175,18264,17958,8302,Stationary
92298,73550,28836,5641,6286,7124,8298,2242,Stationary
58057,67048,41929,20190,12846,13087,13894,2871,Stationary
114096,12523,9799,3945,4626,5807,3539,2543,Stationary
40904,48631,7649,10938,9457,10289,36300,9041,Stationary
421457,253167,23786,21751,25700,18617,37381,14132,Stationary
70509,36811,1127,12561,13931,13234,32996,16272,Stationary
20678,19592,24519,15483,2133,26101,31498,9228,Stationary
955217,194067,85574,20165,34728,22924,31615,19166,Stationary
69625,8905,881,2643,1426,1931,2053,1716,Stationary
64899,21940,2490,3952,495,1632,6394,1066,Stationary
799864,100139,26163,16855,20764,13940,36929,34798,Stationary
386419,23310,6639,8431,3974,9956,6257,2474,Stationary
169126,10758,11888,2151,3876,9511,4566,953,Stationary
1823644,90352,76126,17952,11890,45236,24469,6621,Stationary
138839,14552,5283,2516,762,2102,1302,1369,Stationary
497112,124697,6773,9215,12751,16013,27599,6537,Stationary
994579,189755,29009,5836,52168,22403,24050,8475,Stationary
1503986,16989,13559,25973,21359,52667,45982,9605,Stationary
177300,496662,103242,54901,27392,40578,23225,6101,Stationary
38806,45570,16254,5246,21199,24448,9038,13091,Stationary
127987,124468,9091,39366,18096,22169,21441,7975,Stationary
30573,35826,5044,3296,7543,29012,42182,9119,Stationary
898691,160229,38584,18176,20137,71815,10551,8151,Stationary
2024331,368004,46211,23028,33493,24610,23878,18446,Stationary
635603,223497,23273,34641,20458,12379,4351,5907,Stationary
364305,127020,3960,20564,19933,34813,8190,9263,Stationary
68688,41361,2503,10081,9067,19932,10504,5543,Stationary
356674,15773,25620,22525,10937,13779,10383,8573,Stationary
56614,8250,34993,76111,5371,7563,4593,3627,Stationary
23551,11291,5416,15976,4020,3702,5313,3420,Stationary
13094,12098,24587,33550,3600,5301,5075,2807,Stationary
13881,13055,13928,8271,1908,4082,4361,1028,Stationary
18671,46492,7825,31056,9318,4111,10337,2043,Stationary
28364,14931,4740,7475,3395,2712,5213,2151,Stationary
34610,20105,19313,43859,11286,4215,4310,2578,Stationary
142925,34938,63406,5492,8064,6676,3585,2166,Stationary
106166,20989,5081,3871,4807,5535,1400,1322,Stationary
172887,110917,24109,50172,71036,7830,5776,6074,Stationary
92147,13838,9333,23583,6902,6744,10899,7205,Stationary
71427,56310,23232,11529,12201,9344,9031,2720,Stationary
5670,1166,5620,2153,3039,5376,21516,2318,Stationary
180081,19453,6596,4654,4666,2345,2763,1630,Stationary
3855,13231,48649,11724,7479,12613,6708,2614,Stationary
142998,115262,17362,10174,13813,11895,6067,5174,Stationary
3030,5127,12099,10092,8471,10497,6790,1856,Stationary
7412,1782,8730,8468,3672,9544,8643,3703,Stationary
3448,2288,6923,8541,8320,6793,25663,4554,Stationary
600,11222,2625,2544,8495,13996,26284,3545,Stationary
5709,14940,16130,5857,16640,10080,9757,4959,Stationary
102518,45165,24324,6213,5694,2409,3612,1316,Stationary
55018,37945,6184,29478,20829,13976,27848,12737,Stationary
1310121,16818,4757,4759,30610,12814,33837,8491,Stationary
761786,43067,8733,5747,2844,4313,5437,3316,Stationary
298561,20384,23078,10177,7865,14985,78155,9386,Stationary
4600,17410,25263,4803,9297,11936,17894,12183,Stationary
124391,129193,13487,5195,20928,23525,62968,12837,Stationary
900532,248093,12248,20725,11954,20555,28164,15161,Stationary
247101,196489,11380,25565,16711,27757,63835,16933,Stationary
254575,97071,22194,18293,21868,48047,34470,10810,Stationary
670910,47692,18769,33111,51184,46746,20556,7321,Stationary
432635,67664,7982,13689,12857,10632,10678,12962,Stationary
165750,103205,43048,19079,20090,10744,11112,2102,Stationary
169049,67537,7042,3691,8161,6731,1182,1417,Stationary
232814,24952,19042,12462,20331,22735,11457,11551,Stationary
189741,207417,12094,40573,18654,41239,13922,14360,Stationary
43678,43311,4836,10607,19234,32076,38168,5048,Stationary
274963,78113,41808,19812,10861,15782,28664,19134,Stationary
1552565,173161,41158,8588,10114,24268,37331,6600,Stationary
31557,19554,10563,7438,7466,11197,34861,21103,Stationary
20797,13244,712,6038,14864,30989,66266,9701,Stationary
344679,102660,3275,14754,6279,17437,20957,5921,Stationary
319650,252526,12347,9915,5585,10145,71520,13818,Stationary
91330,117074,23713,20887,22389,20284,54218,16666,Stationary
47819,16957,12712,6535,12704,28846,12037,9747,Stationary
362868,199911,9690,10160,10549,58064,45161,11388,Stationary
107420,7799,871,3979,873,6124,7397,1333,Stationary
1772237,82067,13656,3008,8653,36390,46518,6038,Stationary
565564,70827,79100,5523,21039,28234,56382,20813,Stationary
4855,5103,2376,13137,7732,37724,13758,6570,Stationary
13950,14755,17743,25425,12624,33545,27640,8380,Stationary
4192,10868,8428,9063,18101,28578,25095,7157,Stationary
271924,20951,5394,1522,5576,4289,7083,2897,Stationary
147255,43763,4501,5371,1915,4787,4428,947,Stationary
39064,10185,6568,548,2374,20083,47257,6039,Stationary
139676,202290,19531,10007,7987,10928,24704,4626,Stationary
93043,26020,7760,1379,1488,3836,2729,2577,Stationary
14436,10724,2611,14471,5718,49573,16151,5597,Stationary
214990,138119,92496,21115,12266,39455,31932,5970,Stationary
202335,161706,2310,16132,9039,15141,15962,4857,Stationary
70594,30402,2182,2514,1902,11147,14367,1726,Stationary
